Semester,Year,School,Area,Next School,Next Area
Spring/Fall,1980,A&S,Academic Skills,A&S,Academic Skills
Spring/Fall,1980,A&S,Afric & Mid East Stud,A&S,Afric & Mid East Stud
Spring/Fall,1980,A&S,American Stud,A&S,American Stud
Spring/Fall,1980,A&S,Anthropology,A&S,Anthropology
Spring/Fall,1980,A&S,Arts and Sciences,A&S,Arts and Sciences
Spring/Fall,1980,A&S,Asian Studies,A&S,Asian Studies
Spring/Fall,1980,A&S,Astro-Geophysics,A&S,"Astro, Planet, and Atmosp Sci"
Spring/Fall,1980,A&S,Bibliography,A&S,Bibliography
Spring/Fall,1980,A&S,Biology - EPOB,A&S,Biology - EPO
Spring/Fall,1980,A&S,Biology - MCDB,A&S,Biology - MCD
Spring/Fall,1980,A&S,Black Studies,A&S,Black Studies
Spring/Fall,1980,A&S,Cent for Interdiscip. Stud,A&S,"Cent for Experimental Studies"
Spring/Fall,1980,A&S,Chemistry,A&S,Chemistry
Spring/Fall,1980,A&S,Chicano Studies,A&S,Chicano Studies
Spring/Fall,1980,A&S,Classics,A&S,Classics
Spring/Fall,1980,A&S,Communication,A&S,Communication
Spring/Fall,1980,A&S,Com Disorders & Speech Sci,A&S,Com Disorders & Speech Sci
Spring/Fall,1980,A&S,Comparative Literature,A&S,Comparative Literature
Spring/Fall,1980,A&S,Computer Science,Engineering,Computer Science
Spring/Fall,1980,A&S,Conflict & Peace Studies,A&S,Conflict & Peace Studies
Spring/Fall,1980,A&S,Economics,A&S,Economics
Spring/Fall,1980,A&S,English,A&S,English
Spring/Fall,1980,A&S,Film Studies,A&S,Film Studies
Spring/Fall,1980,A&S,Fine Arts,A&S,Fine Arts
Spring/Fall,1980,A&S,Fine Arts History,A&S,Fine Arts History
Spring/Fall,1980,A&S,French & Italian Lang. & Lit.,A&S,French & Italian Lang. & Lit.
Spring/Fall,1980,A&S,Geography,A&S,Geography
Spring/Fall,1980,A&S,Geological Sciences,A&S,Geological Sciences
Spring/Fall,1980,A&S,Germanic Lang. and Lit.,A&S,Germanic Lang & Lit.
Spring/Fall,1980,A&S,History,A&S,History
Spring/Fall,1980,A&S,Latin American Stud,A&S,Latin American Stud
Spring/Fall,1980,A&S,Linguistics,A&S,"Linguistics (Indo-European, Romance)"
Spring/Fall,1980,A&S,Mathematics,A&S,Mathematics
Spring/Fall,1980,A&S,Medieval Studies,A&S,Medieval Studies
Spring,1980,A&S,Modern Languages,,
Spring/Fall,1980,A&S,Museum,A&S,Museum
Spring/Fall,1980,A&S,Music for Arts & Sciences,A&S,Music
Spring/Fall,1980,A&S,Oriental & Slavic Lang & Lit,A&S,"Slavic Lang. & Lit.;Oriental Lang. & Lit."
Spring/Fall,1980,A&S,Philosophy,A&S,Philosophy
Spring/Fall,1980,A&S,Physical Education & Recreation,A&S,Physical Education & Recreation
Spring/Fall,1980,A&S,Physics,A&S,Physics
Spring/Fall,1980,A&S,Political Science,A&S,Political Science
Spring/Fall,1980,A&S,Psychology,A&S,Psychology
Spring/Fall,1980,A&S,Religious Studies,A&S,Religious Studies
Spring/Fall,1980,A&S,Sociology,A&S,Sociology
Spring/Fall,1980,A&S,Spanish & Portuguese,A&S,Spanish & Portuguese
Spring/Fall,1980,A&S,"Theatre, Dance & Interpretation",A&S,Theatre & Dance
Spring/Fall,1980,A&S,Women Studies,,
Spring/Fall,1980,Architecture,Architecture,Architecture,Architecture
Spring/Fall,1980,Business,Accounting,Business,Accounting
Spring/Fall,1980,Business,Business Administration,Business,Business Administration
Spring/Fall,1980,Business,Business Education,,
Spring/Fall,1980,Business,Business Law,Business,Business Law
Spring/Fall,1980,Business,Computer Info Systems,Business,Information Systems
Spring/Fall,1980,Business,Finance,Business,Finance
Spring/Fall,1980,Business,Insurance,Business,Insurance
Spring/Fall,1980,Business,Mngmt Sci,Business,Mngmt Sci
Spring/Fall,1980,Business,Marketing,Business,Marketing
Spring,1980,Business,Minerals Land Management,Business,Minerals Land Management
Spring/Fall,1980,Business,Office Administration,,
Spring/Fall,1980,Business,Organizational Management,Business,Organizational Management
Spring/Fall,1980,Business,Personnel Management,Business,Personnel-Human Resources Management
Spring/Fall,1980,Business,Production Management,Business,Production Management
Spring/Fall,1980,Business,Real Estate,Business,Real Estate
Spring/Fall,1980,Business,Statistics,Business,Quantitative Methods
Spring/Fall,1980,Business,Transportation Managemen,,
Spring,1980,Education,Administration and Supervision,Education,Education
Spring,1980,Education,Curriculum,Education,Education
Fall,1980,Education,Education,Education,Education
Spring,1980,Education,Elementary Education,Education,Elementary Teacher Cert Courses
Spring,1980,Education,Guidance and Counseling,Education,Education
Spring,1980,Education,Higher Education,Education,Graduate Courses
Spring,1980,Education,Library Media,Education,Education
Spring,1980,Education,Psycho-Educational Studies,Education,Education
Spring,1980,Education,Reading,Education,Education
Spring,1980,Education,Research and Eval Method,Education,Education
Spring,1980,Education,Secondary Education,Education,Secondary Teach Cert Courses
Spring,1980,Education,Social Foundations,Education,Education
Spring/Fall,1980,Education,Teacher Education,Education,Teacher Education
Spring/Fall,1980,Engineering,Aerospace Eng,Engineering,Aerospace Eng Sciences
Spring/Fall,1980,Engineering,Architectural Eng,Engineering,Architectural Eng
Spring/Fall,1980,Engineering,Chemical Eng,Engineering,Chemical Eng
Spring/Fall,1980,Engineering,Civil and Env Eng,Engineering,"Civil, Environmental, and Architectural Eng"
Spring/Fall,1980,Engineering,Electrical Eng,Engineering,Elect and Comp Eng
Spring/Fall,1980,Engineering,Eng Design and Economic Eval,Engineering,Engineering
Spring/Fall,1980,Engineering,Engineering,Engineering,Engineering
Spring/Fall,1980,Engineering,Mechanical Eng,Engineering,Mechanical Eng
Spring/Fall,1980,Journalism,Journalism,Journalism,Journalism
Spring/Fall,1980,Music,Applied Music and Ensembles,Music,Applied Music and Ensembles
Spring/Fall,1980,Music,BA in Music,Music,BA in Music
Spring/Fall,1980,Music,Choral Music,Music,Choral Music
Spring/Fall,1980,Music,Doctor of Musical Arts,Music,Doctor of Musical Arts
Spring/Fall,1980,Music,History and Literature,Music,History and Literature
Spring/Fall,1980,Music,Music Education,Music,Music Education
Spring/Fall,1980,Music,Organ and Church Music,Music,Organ and Church Music
Spring/Fall,1980,Music,Piano,Music,Piano
Spring/Fall,1980,Music,Special Studies,Music,Special Studies
Spring,1980,Music,String,Music,Strings
Spring/Fall,1980,Music,Theory,Music,Theory
Spring/Fall,1980,Music,Thesis and Recitals,Music,Thesis and Recitals
Spring/Fall,1980,Music,Voice,Music,Voice
Spring/Fall,1980,Other,AF Aerospace Studies (ROTC),Other,AF Aerospace Studies (ROTC)
Spring/Fall,1980,Other,Military Science (ROTC),Other,Military Science (ROTC)
Spring/Fall,1980,Other,Naval Science (ROTC),Other,Naval Science (ROTC)
Fall,1985,A&S,Academic Skills,,
Spring/Fall,1985,A&S,Afric & Mid East Stud,A&S,Black Studies;Religious Studies
Spring/Fall,1985,A&S,American Stud,A&S,American Stud
Spring/Fall,1985,A&S,Anthropology,A&S,Anthropology
Spring/Fall,1985,A&S,Arts and Sciences,A&S,A&S Special Courses
Spring/Fall,1985,A&S,Asian Studies,A&S,Asian Studies
Spring/Fall,1985,A&S,"Astro, Planet, and Atmosp Sci",A&S,"Astro, Planet, and Atmosp Sci"
Spring/Fall,1985,A&S,Bibliography,A&S,Bibliography
Spring/Fall,1985,A&S,Biology - EPO,A&S,"Environmental, Population, and Organismic Biology"
Spring/Fall,1985,A&S,Biology - MCD,A&S,"Mole Cell Dev Biology"
Spring/Fall,1985,A&S,Black Studies,A&S,Black Studies
Spring/Fall,1985,A&S,Chemistry,A&S,Chemistry and Biochemistry
Spring/Fall,1985,A&S,Chicano Studies,A&S,Chicano Studies
Spring/Fall,1985,A&S,Classics,A&S,Classics
Spring/Fall,1985,A&S,Communication,A&S,Communication
Spring/Fall,1985,A&S,Com Disorders & Speech Sci,A&S,Com Disorders & Speech Sci
Spring/Fall,1985,A&S,Comparative Literature,A&S,Comparative Literature
Spring/Fall,1985,A&S,Conflict & Peace Studies,A&S,Conflict & Peace Studies
Spring,1985,A&S,Distributed Studies,,
Spring/Fall,1985,A&S,Economics,A&S,Economics
Spring/Fall,1985,A&S,English,A&S,English
Spring/Fall,1985,A&S,Film Studies,A&S,Film Studies
Spring/Fall,1985,A&S,Fine Arts,A&S,Fine Arts
Spring,1985,A&S,Fine Arts History,,
Spring/Fall,1985,A&S,French & Italian Lang. & Lit.,A&S,French;Italian
Spring/Fall,1985,A&S,Geography,A&S,Geography
Spring/Fall,1985,A&S,Geological Sciences,A&S,Geology
Spring/Fall,1985,A&S,Germanic Lang & Lit.,A&S,German
Spring/Fall,1985,A&S,History,A&S,History
Spring,1985,A&S,Honors,A&S,Honors
Spring/Fall,1985,A&S,"Cent for Experimental Studies",,
Spring/Fall,1985,A&S,Latin American Stud,A&S,Latin American Stud
Spring/Fall,1985,A&S,"Linguistics (Indo-European, Romance)",A&S,Linguistics
Spring/Fall,1985,A&S,Mathematics,A&S,Mathematics;Applied Mathematics
Spring,1985,A&S,Medieval Studies,A&S,Medieval Studies
Spring/Fall,1985,A&S,Museum,A&S,Museum
Spring/Fall,1985,A&S,Music,,
Spring/Fall,1985,A&S,Oriental Lang. & Lit.,A&S,Chinese;Japanese
Spring/Fall,1985,A&S,Philosophy,A&S,Philosophy
Spring/Fall,1985,A&S,Physical Education & Recreation,A&S,Physical Education
Spring/Fall,1985,A&S,Physics,A&S,Physics
Spring/Fall,1985,A&S,Political Science,A&S,Political Science
Spring/Fall,1985,A&S,Psychology,A&S,Psychology
Spring/Fall,1985,A&S,Religious Studies,A&S,Religious Studies
Spring/Fall,1985,A&S,"Slavic Lang. & Lit.",A&S,"Slavic Lang. & Lit."
Spring/Fall,1985,A&S,Sociology,A&S,Sociology
Spring/Fall,1985,A&S,Spanish & Portuguese,A&S,Spanish;Portuguese
Spring/Fall,1985,A&S,Theatre & Dance,A&S,Theatre;Dance
Spring/Fall,1985,A&S,Woman Studies,A&S,Woman Studies
Spring/Fall,1985,Architecture,Architecture,Architecture,Architecture
Spring/Fall,1985,Business,Accounting,Business,Accounting
Spring/Fall,1985,Business,Business Administration,Business,Business Administration
Spring/Fall,1985,Business,Business Law,Business,Business Law
Spring/Fall,1985,Business,Finance,Business,Finance
Spring/Fall,1985,Business,Information Systems,Business,Information Systems
Spring/Fall,1985,Business,Insurance,,
Spring/Fall,1985,Business,Mngmt Sci,,
Spring/Fall,1985,Business,Marketing,Business,Marketing
Spring,1985,Business,Minerals Land Management,,
Spring/Fall,1985,Business,Organizational Management,Business,Organization Management
Spring/Fall,1985,Business,Personnel-Human Resources Management,Business,Personnel and Human Resource Management
Spring/Fall,1985,Business,Production Management,Business,Operations Management
Spring/Fall,1985,Business,Quantitative Methods,,
Spring/Fall,1985,Business,Real Estate,Business,Real Estate
Spring/Fall,1985,Business,Transportation Management,Business,Transportation Management
Spring,1985,Education,Education,,
Fall,1985,Education,Elemen and Second Cert,Education,Elementary Education
Spring,1985,Education,Elementary Teacher Cert Courses,Education,Secondary Cert
Fall,1985,Education,Graduate Courses,Education,Graduate Education
Spring,1985,Education,Secondary Teach Cert Courses,Education,Elemen and Second Cert
Spring/Fall,1985,Education,Teacher Education,Education,Teacher Education
Spring/Fall,1985,Engineering,Aerospace Eng Sciences,Engineering,Aerospace Eng
Spring/Fall,1985,Engineering,Architectural Eng,Engineering,Architectural Eng
Spring/Fall,1985,Engineering,Chemical Eng,Engineering,Chemical Eng
Spring/Fall,1985,Engineering,"Civil, Environmental, and Architectural Eng",Engineering,Civil Engineering
Spring/Fall,1985,Engineering,Computer Science,Engineering,Computer Science
Spring/Fall,1985,Engineering,Elect and Comp Eng,Engineering,Elect and Comp Eng
Spring/Fall,1985,Engineering,Engineering,Engineering,General Engineering
Spring/Fall,1985,Engineering,Industrial Engineering,,
Spring/Fall,1985,Engineering,Mechanical Eng,Engineering,Mechanical Eng
Spring/Fall,1985,Journalism,Journalism,,
Fall,1985,Music,Applied Lessons,,
Spring/Fall,1985,Music,Applied Music and Ensembles,,
Spring/Fall,1985,Music,BA in Music,,
Spring/Fall,1985,Music,Choral Music,,
Spring/Fall,1985,Music,Convocation Requirement,Music,Convocation Music
Spring/Fall,1985,Music,Courses Open to Both Nonmusic and Music Majors,,
Spring/Fall,1985,Music,Doctor of Musical Arts,,
Fall,1985,Music,Ensembles,,
Spring/Fall,1985,Music,History and Literature,,
Spring/Fall,1985,Music,Music Education,,
Spring/Fall,1985,Music,Organ and Church Music,,
Spring/Fall,1985,Music,Piano,,
Spring/Fall,1985,Music,Special Studies,,
Fall,1985,Music,Strings,,
Spring/Fall,1985,Music,Theory,,
Spring/Fall,1985,Music,Thesis and Recitals,Music,Thesis Music
Spring/Fall,1985,Music,Voice,,
Spring/Fall,1985,Other,AF Aerospace Studies (ROTC),Other,AF Aerospace Studies (ROTC)
Spring/Fall,1985,Other,Military Science (ROTC),Other,Military Science (ROTC)
Spring/Fall,1985,Other,Naval Science (ROTC),Other,Naval Science (ROTC)
Spring/Fall,1990,A&S,Am Indian Stud,A&S,Am Indian Stud
Spring/Fall,1990,A&S,American Stud,A&S,American Stud
Spring/Fall,1990,A&S,Anthropology,A&S,Anthropology
Spring/Fall,1990,A&S,Applied Mathematics,A&S,Applied Mathematics
Spring/Fall,1990,A&S,A&S Special Courses,A&S,A&S Special Courses
Spring/Fall,1990,A&S,Asian American Stud,A&S,Asian American Stud
Spring,1990,A&S,Asian Studies,,
Spring/Fall,1990,A&S,"Astro, Planet, and Atmosp Sci",A&S,"Astro, Planet, and Atmosp Sci"
Spring/Fall,1990,A&S,Bibliography,A&S,Bibliography
Spring/Fall,1990,A&S,Black Studies,A&S,African-American Stud
Spring/Fall,1990,A&S,Chemistry and Biochemistry,A&S,Chemistry
Spring/Fall,1990,A&S,Chicano Studies,A&S,Chicano Studies
Spring/Fall,1990,A&S,Chinese,A&S,Chinese
Spring/Fall,1990,A&S,Classics,A&S,Classics
Spring/Fall,1990,A&S,Communication,A&S,Communication
Spring/Fall,1990,A&S,Com Disorders & Speech Sci,A&S,Com Disorders & Speech Sci
Spring/Fall,1990,A&S,Comparative Literature,A&S,Comparative Literature
Spring/Fall,1990,A&S,Conflict & Peace Studies,A&S,Conflict & Peace Studies
Spring/Fall,1990,A&S,Dance,A&S,Dance
Spring/Fall,1990,A&S,Economics,A&S,Economics
Spring/Fall,1990,A&S,English,A&S,English
Spring/Fall,1990,A&S,English as a Second Language,A&S,English as a Second Language
Spring/Fall,1990,A&S,"Environmental, Population, and Organismic Biology",A&S,"Environmental, Population, and Organismic Biology"
Spring/Fall,1990,A&S,Film Studies,A&S,Film Studies
Spring/Fall,1990,A&S,Fine Arts,A&S,Fine Arts
Spring/Fall,1990,A&S,French,A&S,French
Spring/Fall,1990,A&S,Geography,A&S,Geography
Spring/Fall,1990,A&S,Geology,A&S,Geological Sciences
Spring/Fall,1990,A&S,German,A&S,German
Spring/Fall,1990,A&S,History,A&S,History
Spring/Fall,1990,A&S,Honors,A&S,Honors
Spring/Fall,1990,A&S,Humanities,A&S,Humanities
Fall,1990,A&S,Italian,A&S,Italian
Spring/Fall,1990,A&S,Japanese,A&S,Japanese
Spring/Fall,1990,A&S,Kinesiology,A&S,Kinesiology
Fall,1990,A&S,Latin American Stud,A&S,Latin American Stud
Spring/Fall,1990,A&S,Linguistics,A&S,Linguistics
Spring/Fall,1990,A&S,Mathematics,A&S,Mathematics
Fall,1990,A&S,Medieval Studies,A&S,Medieval Studies
Spring/Fall,1990,A&S,"Mole Cell Dev Biology",A&S,"Mole Cell Dev Biology"
Spring/Fall,1990,A&S,Museum,A&S,Museum
Spring/Fall,1990,A&S,Natural Science,A&S,"Environmental, Population, and Organismic Biology"
Spring/Fall,1990,A&S,Norwegian,A&S,Norwegian
Spring/Fall,1990,A&S,Philosophy,A&S,Philosophy
Spring/Fall,1990,A&S,Physical Education,,
Spring/Fall,1990,A&S,Physics,A&S,Physics
Spring/Fall,1990,A&S,Political Science,A&S,Political Science
Spring/Fall,1990,A&S,Portuguese,A&S,Portuguese
Spring/Fall,1990,A&S,Psychology,A&S,Psychology
Spring/Fall,1990,A&S,Quant Reason and Math Skill,A&S,Mathematics
Spring/Fall,1990,A&S,Religious Studies,A&S,Religious Studies
Spring/Fall,1990,A&S,Russian,A&S,Russian
Spring,1990,A&S,Scandinavian,A&S,Scandinavian
Spring/Fall,1990,A&S,"Slavic Lang. & Lit.",A&S,Polish;Russian
Spring/Fall,1990,A&S,Sociology,A&S,Sociology
Spring/Fall,1990,A&S,Spanish,A&S,Spanish
Spring/Fall,1990,A&S,Sweedish,A&S,Sweedish
Spring/Fall,1990,A&S,Theatre,A&S,Theatre
Spring/Fall,1990,A&S,University Writing Program,A&S,University Writing Program
Spring/Fall,1990,A&S,Woman Studies,A&S,Woman Studies
Spring/Fall,1990,Architecture,Architecture,Architecture,Architecture
Spring/Fall,1990,Architecture,Environmental Design,Architecture,Environmental Design
Spring/Fall,1990,Business,Accounting,Business,Accounting
Spring/Fall,1990,Business,Business Administration,Business,Business Administration
Spring/Fall,1990,Business,Business Economics,Business,Business Economics
Spring,1990,Business,Business Environment and Policy,Business,Business Environment and Policy
Spring/Fall,1990,Business,Business Law,Business,Business Law
Fall,1990,Business,Business Policy,Business,Business Environment and Policy
Spring/Fall,1990,Business,Entrep & Small Biz Mngmt,Business,Entrep & Small Biz Mngmt
Spring/Fall,1990,Business,Finance,Business,Finance
Spring/Fall,1990,Business,Information Systems,Business,Information Systems
Spring/Fall,1990,Business,Marketing,Business,Marketing
Spring/Fall,1990,Business,Operations Management,Business,Operations Management
Spring/Fall,1990,Business,Organization Management,Business,Organization Management
Spring/Fall,1990,Business,Personnel and Human Resource Management,Business,Personnel/Human Resource Management
Spring/Fall,1990,Business,Real Estate,Business,Real Estate
Spring/Fall,1990,Business,Tourism and Recreation,Business,Tourism Management
Spring/Fall,1990,Business,Transportation Management,Business,Transport and Dist Mngmnt
Spring/Fall,1990,Education,"Curric Found & Instr",Education,"Curric Found & Instr"
Spring/Fall,1990,Education,Educational Psychological Studies,Education,Educational Psychological Studies
Spring/Fall,1990,Education,Elemen and Second Cert,Education,Elemen and Second Education
Spring/Fall,1990,Education,Elementary Education,Education,Elementary Education
Spring/Fall,1990,Education,Graduate Education,Education,Graduate Education
Spring/Fall,1990,Education,"Research, Eval, and Method",Education,"Research, Eval, and Method"
Spring/Fall,1990,Education,Secondary Cert,Education,Secondary Education
Spring,1990,Education,Teacher Education,,
Spring/Fall,1990,Engineering,Aerospace Eng,Engineering,Aerospace Eng
Spring/Fall,1990,Engineering,Architectural Eng,Engineering,Architectural Eng
Spring/Fall,1990,Engineering,Chemical Eng,Engineering,Chemical Eng
Spring/Fall,1990,Engineering,Civil Engineering,Engineering,Civil Engineering
Spring/Fall,1990,Engineering,Computer Science,Engineering,Computer Science
Spring/Fall,1990,Engineering,Elect and Comp Eng,Engineering,Elect and Comp Eng
Fall,1990,Engineering,Environmental Engineering,,
Spring/Fall,1990,Engineering,General Engineering,Engineering,General Engineering
Spring/Fall,1990,Engineering,Mechanical Eng,Engineering,Mechanical Eng
Spring/Fall,1990,Engineering,Telecommunications,Engineering,Telecommunications
Spring/Fall,1990,Journalism,Advertising,Journalism,Advertising
Spring/Fall,1990,Journalism,Broadcast,Journalism,Broadcast
Spring/Fall,1990,Journalism,Core Curr and Gen Ed,Journalism,Core Curr and Gen Ed
Spring/Fall,1990,Journalism,News Ed and PR,Journalism,News Ed/PR
Spring,1990,Journalism,Telecommunications,,
Spring,1990,Music,Convocation Music,Music,Convocation Music
Spring/Fall,1990,Music,Elective Music,Music,Elective Music
Spring/Fall,1990,Music,Music,Music,Music
Spring/Fall,1990,Music,Performance Music,Music,Performance Music
Spring/Fall,1990,Music,Thesis Music,Music,Thesis Music
Spring/Fall,1990,Other,AF Aerospace Studies (ROTC),Other,AF Aerospace Studies (ROTC)
Spring/Fall,1990,Other,Military Science (ROTC),Other,Military Science (ROTC)
Spring/Fall,1990,Other,Naval Science (ROTC),Other,Naval Science (ROTC)
Spring/Fall,1990,Other,President's Leadership Class,,
Spring/Fall,1995,A&S,African-American Stud,A&S,Ethnic Studies
Spring/Fall,1995,A&S,Am Indian Stud,A&S,Ethnic Studies
Spring/Fall,1995,A&S,American Stud,A&S,American Stud
Spring/Fall,1995,A&S,Anthropology,A&S,Anthropology
Spring/Fall,1995,A&S,Applied Mathematics,A&S,Applied Math
Spring/Fall,1995,A&S,A&S Special Courses,A&S,A&S Special Courses
Spring/Fall,1995,A&S,Asian American Stud,A&S,Ethnic Studies
Spring/Fall,1995,A&S,"Astro, Planet, and Atmosp Sci",A&S,"Astro, Planet, and Atmosp Sci"
Spring/Fall,1995,A&S,Bibliography,A&S,Bibliography
Fall,1995,A&S,Central and East European Studies,A&S,Central and East European Studies
Spring/Fall,1995,A&S,Chemistry,A&S,Chemistry
Spring/Fall,1995,A&S,Chicano Studies,A&S,Ethnic Studies
Spring/Fall,1995,A&S,Chinese,A&S,Chinese
